Order ID,Customer Name,Gender,Age,Device used,City,Product Category,Purchase time,Payment mode,Order Date,Order Day,Amount spent by per user,Discount,Return item
ORD00039,Angela Davenport,Male,33,Mobile,Pune,Clothing,Night,Credit Card,2024-04-30,Tuesday,3997.53,1862.93,No
ORD00040,Wendy Vaughn,Male,35,Mobile,Pune,Accessories,Morning,Net Banking,2024-02-21,Wednesday,17507.25,7639.59,Yes
ORD00041,Destiny Mills,Male,47,Laptop,Bangalore,Clothing,Afternoon,Credit Card,2023-10-16,Monday,13370.65,3066.02,No
ORD00042,Vanessa Snyder,Male,35,Laptop,Kolkata,Books,Night,Cash on Delivery,2024-06-29,Saturday,6957.42,434.28,No
ORD00043,Corey Davis,Male,55,Laptop,Delhi,Electronics,Night,UPI,2024-02-06,Tuesday,14706.63,2811.24,Yes
ORD00044,Eric Davies,Female,54,Mobile,Bangalore,Electronics,Night,Credit Card,2024-12-02,Monday,10638.45,4392.93,Yes
ORD00045,Melissa Jimenez,Female,45,Mobile,Kolkata,Footwear,Evening,Credit Card,2024-12-21,Saturday,14535.21,2691.12,No
ORD00046,Erin Collins,Female,38,Laptop,Kolkata,Footwear,Afternoon,Debit Card,2024-11-26,Tuesday,8698.7,4115.91,Yes
ORD00047,Jesse Hall,Female,43,Tablet,Pune,Electronics,Evening,UPI,2023-12-05,Tuesday,4598.56,1855.94,No
ORD00048,Angela Patel,Female,46,Laptop,Kolkata,Clothing,Night,Debit Card,2024-04-16,Tuesday,13347.59,2371.92,No
ORD00049,Scott Leach,Male,33,Tablet,Bangalore,Clothing,Afternoon,Debit Card,2024-07-27,Saturday,976.3,156.38,No
ORD00050,Jennifer Le,Male,47,Laptop,Kolkata,Books,Afternoon,Net Banking,2024-04-21,Sunday,10140.35,1620.36,Yes
ORD00051,Larry Austin,Male,45,Mobile,Mumbai,Accessories,Night,Credit Card,2025-06-13,Friday,11369.41,5262.46,Yes
ORD00052,Elizabeth Simpson,Female,26,Laptop,Kolkata,Books,Evening,Net Banking,2023-10-18,Wednesday,12446.72,4651.01,No
ORD00053,Joseph Lee,Female,28,Tablet,Pune,Home Decor,Night,UPI,2025-04-22,Tuesday,15159.65,6487.39,No
ORD00054,Renee Harris,Female,58,Mobile,Bangalore,Home Decor,Morning,UPI,2025-07-08,Tuesday,5072.62,1020.26,Yes
ORD00055,Lee Whitaker,Male,27,Mobile,Hyderabad,Accessories,Afternoon,Debit Card,2024-09-08,Sunday,1752.46,409.06,No
ORD00056,Tanya Ruiz,Female,21,Mobile,Pune,Home Decor,Night,Cash on Delivery,2024-10-27,Sunday,18948.21,1113.95,No
ORD00057,Lori Mercer,Female,18,Laptop,Bangalore,Home Decor,Night,Cash on Delivery,2023-09-24,Sunday,15076.56,4459.04,Yes
ORD00058,Thomas Sanchez,Female,32,Laptop,Hyderabad,Home Decor,Morning,Net Banking,2025-04-09,Wednesday,7054.53,2508.69,No
ORD00059,Michelle Moore,Male,47,Mobile,Chennai,Books,Morning,Net Banking,2024-01-10,Wednesday,12041.91,4194.8,Yes
ORD00060,James Graham,Female,26,Laptop,Mumbai,Electronics,Evening,Net Banking,2023-09-03,Sunday,6883.38,1752.61,No
ORD00061,Greg Lee,Female,35,Laptop,Bangalore,Electronics,Night,Credit Card,2025-04-10,Thursday,15105.97,1109.36,No
ORD00062,Jeffrey Simpson,Male,59,Mobile,Pune,Accessories,Morning,Credit Card,2023-12-27,Wednesday,19017.43,2656.97,Yes
ORD00063,Nathaniel Trujillo,Male,33,Mobile,Hyderabad,Accessories,Morning,Cash on Delivery,2025-04-02,Wednesday,18981.26,4921.18,No
ORD00064,Jeremy Kelly,Female,28,Tablet,Chennai,Accessories,Morning,Debit Card,2025-03-21,Friday,19312.06,1905.03,Yes
ORD00065,Matthew Cherry,Female,54,Tablet,Hyderabad,Home Decor,Afternoon,Credit Card,2024-09-05,Thursday,12045.91,5104.54,Yes
ORD00066,Andrew Thompson,Male,37,Tablet,Chennai,Electronics,Morning,UPI,2024-10-05,Saturday,10888.53,3785.77,Yes
ORD00067,Debra White,Female,18,Laptop,Pune,Home Decor,Morning,Net Banking,2024-07-16,Tuesday,19235.36,6463.34,No
ORD00068,Jill Bush,Male,45,Mobile,Kolkata,Books,Evening,Cash on Delivery,2024-07-17,Wednesday,16259.88,4750.78,No
ORD00069,Robert Whitehead,Female,45,Tablet,Chennai,Footwear,Evening,Debit Card,2023-12-31,Sunday,16699.25,1486.2,No
ORD00070,Alison Stanton,Male,47,Tablet,Chennai,Accessories,Night,UPI,2024-09-25,Wednesday,1059.65,458.75,Yes
ORD00071,Kristi Bowen,Female,31,Laptop,Pune,Footwear,Evening,UPI,2024-07-07,Sunday,17666.24,6457.59,No
ORD00072,Jennifer Johnson,Male,51,Mobile,Delhi,Clothing,Night,Net Banking,2025-05-13,Tuesday,11325.94,1791.15,No
ORD00073,Allen Brown,Female,46,Mobile,Delhi,Footwear,Afternoon,Net Banking,2025-05-09,Friday,13989.85,2627.19,No
ORD00074,John Smith,Female,53,Tablet,Bangalore,Home Decor,Evening,UPI,2024-01-18,Thursday,14205.67,2442.13,No
ORD00075,Louis Cohen,Male,25,Tablet,Mumbai,Footwear,Morning,Cash on Delivery,2025-03-04,Tuesday,19042.11,6866.08,Yes
ORD00076,Dennis Michael,Male,48,Laptop,Kolkata,Books,Evening,Credit Card,2024-02-04,Sunday,16736.25,3067.94,No
ORD00077,Donna Robinson,Male,37,Mobile,Kolkata,Books,Afternoon,UPI,2025-07-13,Sunday,1387.56,103.42,No
ORD00078,Jenny Brown,Male,58,Laptop,Delhi,Electronics,Evening,Net Banking,2024-12-28,Saturday,9834.93,1999.62,Yes
ORD00079,David Jensen,Female,48,Mobile,Pune,Electronics,Night,Net Banking,2025-03-31,Monday,1944.6,648.04,Yes
ORD00080,Julie Gallagher,Male,27,Tablet,Bangalore,Electronics,Afternoon,Credit Card,2023-08-21,Monday,11382.42,2700.8,Yes
ORD00081,Mrs. Tiffany Irwin,Female,46,Laptop,Bangalore,Books,Night,UPI,2023-10-07,Saturday,11588.27,893.5,Yes
ORD00082,John Harris,Male,58,Mobile,Bangalore,Accessories,Morning,Debit Card,2025-05-10,Saturday,5177.37,1544.91,Yes
ORD00083,Jordan Bowman,Male,44,Laptop,Kolkata,Books,Night,UPI,2025-03-14,Friday,1136.48,204.17,No
ORD00084,Barry Kim,Female,22,Tablet,Mumbai,Footwear,Afternoon,Net Banking,2025-03-27,Thursday,2738.14,413.91,Yes
ORD00085,Jonathan Sanchez,Female,27,Mobile,Delhi,Clothing,Evening,Cash on Delivery,2024-05-20,Monday,15104.68,4624.19,No
ORD00086,Connie Gardner,Female,25,Laptop,Kolkata,Footwear,Night,UPI,2024-06-29,Saturday,10259.21,2792.64,Yes
ORD00087,Austin Grimes,Male,45,Tablet,Bangalore,Books,Evening,Credit Card,2025-01-15,Wednesday,2280.87,1101.34,Yes
ORD00088,Brenda Richard,Female,54,Mobile,Pune,Clothing,Night,Cash on Delivery,2024-03-25,Monday,13204.44,6103.52,Yes
ORD00089,Ana Campbell,Female,58,Laptop,Delhi,Home Decor,Evening,Net Banking,2024-12-28,Saturday,6999.51,2460.75,Yes
ORD00090,Stacey Nixon,Female,44,Tablet,Hyderabad,Footwear,Night,Cash on Delivery,2023-08-09,Wednesday,1215.59,108.95,No
ORD00091,Carol Rodgers,Female,25,Laptop,Pune,Books,Morning,Cash on Delivery,2023-08-29,Tuesday,9508.54,707.36,No
ORD00092,Anita Freeman,Female,58,Laptop,Pune,Electronics,Afternoon,UPI,2024-02-20,Tuesday,11209.78,5240.04,No
ORD00093,Lisa Thompson,Female,25,Mobile,Kolkata,Books,Afternoon,Debit Card,2024-05-18,Saturday,6559.63,368.35,No
ORD00094,James Bruce,Male,32,Mobile,Hyderabad,Electronics,Afternoon,Net Banking,2025-05-01,Thursday,18686.73,3388.61,No
ORD00095,Sarah Fields,Female,48,Laptop,Mumbai,Home Decor,Afternoon,Net Banking,2024-02-12,Monday,4216.9,1348.23,Yes
ORD00096,Caitlin Good,Male,35,Laptop,Bangalore,Books,Evening,Credit Card,2024-01-26,Friday,6015.36,1108.93,No
ORD00097,Miranda Patton,Male,46,Tablet,Hyderabad,Footwear,Evening,Cash on Delivery,2024-05-25,Saturday,15376.02,3378.8,No
ORD00098,Michael Davis,Male,33,Tablet,Hyderabad,Clothing,Night,Credit Card,2024-11-17,Sunday,6704.44,1762.19,No
ORD00099,Sarah Holmes,Female,60,Tablet,Mumbai,Home Decor,Morning,Debit Card,2024-02-27,Tuesday,10294.68,3248.81,Yes
ORD00100,Austin Thomas,Female,24,Tablet,Hyderabad,Electronics,Afternoon,Net Banking,2025-04-22,Tuesday,17483.19,8505.23,Yes
ORD00101,Jason Berger,Female,34,Laptop,Chennai,Accessories,Night,Credit Card,2023-10-06,Friday,17109.42,7417.85,No
ORD00102,Carlos Kirk,Female,58,Tablet,Pune,Home Decor,Morning,Cash on Delivery,2024-09-28,Saturday,1834.2,612.66,No
ORD00103,Stephen Pacheco,Male,23,Laptop,Delhi,Accessories,Morning,Net Banking,2024-08-29,Thursday,3744.11,691.76,Yes
ORD00104,Joel Hampton,Male,38,Mobile,Bangalore,Footwear,Evening,Net Banking,2024-11-21,Thursday,3338.61,964.94,Yes
ORD00105,Martin Contreras MD,Male,29,Mobile,Chennai,Home Decor,Afternoon,Net Banking,2025-03-22,Saturday,18300.17,2093.59,No
ORD00106,Mrs. Teresa Alexander DDS,Female,47,Laptop,Kolkata,Electronics,Night,UPI,2024-04-08,Monday,13713.41,1660.54,No
ORD00107,Bruce Snyder,Female,55,Laptop,Kolkata,Home Decor,Evening,Net Banking,2023-09-10,Sunday,16983.43,2371.7,No
ORD00108,Manuel Sanford,Female,24,Mobile,Hyderabad,Books,Evening,Cash on Delivery,2025-04-28,Monday,6269.51,2286.34,Yes
ORD00109,Michael Patel,Female,35,Mobile,Chennai,Accessories,Morning,Cash on Delivery,2025-06-02,Monday,15030.86,6384.77,No
ORD00110,Hannah Brown,Male,56,Laptop,Mumbai,Accessories,Afternoon,Cash on Delivery,2024-02-01,Thursday,5387.22,2101.07,Yes
ORD00111,Kimberly Meza,Male,58,Tablet,Delhi,Footwear,Night,Credit Card,2023-09-05,Tuesday,11801.69,4479.47,Yes
ORD00112,George Perry,Female,38,Tablet,Hyderabad,Clothing,Afternoon,Debit Card,2025-04-16,Wednesday,15837.0,7038.08,No
ORD00113,Mason Thompson,Female,28,Laptop,Pune,Home Decor,Evening,UPI,2023-11-27,Monday,16182.53,4219.58,Yes
ORD00114,Shelly Gray,Male,32,Tablet,Kolkata,Accessories,Night,Cash on Delivery,2024-06-21,Friday,7632.61,3097.37,Yes
ORD00115,Arthur Adkins,Female,52,Mobile,Hyderabad,Footwear,Evening,Cash on Delivery,2025-02-01,Saturday,7930.0,2675.16,No
ORD00116,Jacob Wade,Male,32,Laptop,Delhi,Books,Evening,Cash on Delivery,2023-10-24,Tuesday,4816.66,377.86,No
ORD00117,Kyle Bishop,Female,59,Laptop,Delhi,Clothing,Morning,Credit Card,2023-11-25,Saturday,6435.11,1748.3,Yes
ORD00118,Eugene Rodriguez,Male,52,Mobile,Hyderabad,Home Decor,Evening,Cash on Delivery,2024-12-11,Wednesday,8672.97,3330.6,Yes
ORD00119,Laura Bowers,Female,59,Mobile,Pune,Home Decor,Night,UPI,2024-10-17,Thursday,1137.97,246.64,No
ORD00120,Dalton Vasquez,Female,33,Laptop,Delhi,Accessories,Evening,Cash on Delivery,2024-10-23,Wednesday,18083.08,6151.36,Yes
ORD00121,Grace Hernandez,Female,35,Mobile,Delhi,Home Decor,Morning,Debit Card,2023-12-16,Saturday,13013.24,4147.52,Yes
ORD00122,Erin Wood,Male,39,Mobile,Mumbai,Books,Afternoon,Credit Card,2025-06-07,Saturday,16681.45,4994.32,Yes
ORD00123,Raven Gonzalez,Male,39,Mobile,Pune,Books,Morning,UPI,2025-04-21,Monday,17238.92,1984.37,Yes
ORD00124,Jessica Howard,Female,29,Mobile,Kolkata,Electronics,Afternoon,Credit Card,2023-08-28,Monday,7485.72,3030.18,No
ORD00125,Patricia Mcdowell,Male,29,Laptop,Delhi,Clothing,Night,Cash on Delivery,2024-04-05,Friday,2716.16,213.49,No
ORD00126,Karen Dodson,Female,50,Tablet,Delhi,Home Decor,Afternoon,Cash on Delivery,2024-01-07,Sunday,1345.62,541.55,No
ORD00127,Joseph Johnson,Female,59,Mobile,Delhi,Home Decor,Night,Net Banking,2023-09-20,Wednesday,13878.9,3755.92,No
ORD00128,Angela Santana,Male,23,Laptop,Chennai,Clothing,Morning,Debit Card,2023-11-21,Tuesday,5862.81,1963.36,No
ORD00129,Nathan Vaughn,Female,56,Tablet,Bangalore,Home Decor,Night,Credit Card,2024-03-23,Saturday,15965.37,1620.27,Yes
ORD00130,Hannah Stewart,Female,46,Mobile,Hyderabad,Footwear,Night,Net Banking,2024-06-08,Saturday,8611.8,799.08,No
ORD00131,Brenda Page,Female,60,Laptop,Bangalore,Clothing,Night,Credit Card,2025-04-29,Tuesday,2278.88,201.48,No
ORD00132,Jennifer Benjamin,Male,41,Mobile,Chennai,Electronics,Evening,Credit Card,2025-04-27,Sunday,8510.77,3771.32,No
ORD00133,Kristen Terrell,Male,36,Tablet,Bangalore,Footwear,Morning,Cash on Delivery,2024-05-02,Thursday,10394.54,1243.48,No
ORD00134,Jennifer Stevenson,Male,24,Laptop,Pune,Books,Evening,Credit Card,2024-08-23,Friday,15370.81,4739.51,No
ORD00135,Matthew Davis,Male,56,Tablet,Pune,Accessories,Evening,Credit Card,2023-12-07,Thursday,4018.11,1471.49,No
ORD00136,James Lowe,Female,40,Mobile,Mumbai,Clothing,Night,Credit Card,2024-04-08,Monday,3266.56,1094.06,Yes
ORD00137,Casey Ortega,Male,51,Mobile,Hyderabad,Home Decor,Night,UPI,2025-06-11,Wednesday,3569.48,679.05,No
ORD00138,Roger Torres MD,Male,21,Mobile,Mumbai,Books,Morning,Credit Card,2024-07-13,Saturday,5806.01,2019.75,No
ORD00139,Felicia Robertson,Female,44,Laptop,Mumbai,Books,Morning,UPI,2024-01-06,Saturday,8883.32,1576.44,No
ORD00140,Kelly Brown,Female,20,Mobile,Hyderabad,Books,Morning,Credit Card,2024-01-09,Tuesday,4486.25,2132.74,Yes
ORD00141,Robert Powell,Female,36,Laptop,Delhi,Electronics,Night,Net Banking,2025-02-25,Tuesday,3926.05,868.02,Yes
ORD00142,Brandi Horne,Female,22,Laptop,Pune,Accessories,Morning,Net Banking,2024-01-24,Wednesday,865.46,402.03,No
ORD00143,Adrian Bell,Female,54,Laptop,Kolkata,Accessories,Night,UPI,2024-04-15,Monday,2745.88,163.07,No
ORD00144,David Stevens,Male,57,Laptop,Pune,Accessories,Evening,Credit Card,2024-01-05,Friday,9015.88,880.3,No
ORD00145,John Walker,Female,51,Mobile,Hyderabad,Footwear,Evening,Debit Card,2024-06-06,Thursday,6994.84,878.97,Yes
ORD00146,Michele Smith,Male,40,Laptop,Kolkata,Accessories,Afternoon,Debit Card,2024-10-27,Sunday,2504.69,413.74,Yes
ORD00147,Thomas Young,Male,59,Mobile,Mumbai,Accessories,Night,Net Banking,2024-04-14,Sunday,15211.69,5962.14,No
ORD00148,Daniel Johnson,Female,58,Laptop,Mumbai,Home Decor,Morning,Net Banking,2023-12-04,Monday,9123.06,1699.35,No
ORD00149,Austin Wright,Male,40,Tablet,Delhi,Footwear,Night,Net Banking,2024-03-20,Wednesday,1233.34,266.32,No
ORD00150,Emily Thompson,Male,59,Mobile,Chennai,Books,Night,Net Banking,2023-11-05,Sunday,11816.42,5664.84,Yes
ORD00151,Ann Carlson,Female,54,Tablet,Mumbai,Footwear,Night,Cash on Delivery,2023-08-16,Wednesday,3441.79,267.92,Yes
ORD00152,Elizabeth Brooks,Female,23,Tablet,Kolkata,Clothing,Morning,Debit Card,2024-02-10,Saturday,14298.62,7091.31,Yes
ORD00153,Dustin Collins,Female,41,Laptop,Hyderabad,Home Decor,Evening,Cash on Delivery,2023-10-13,Friday,1521.13,507.9,No
ORD00154,Alejandro Miller,Male,39,Mobile,Chennai,Accessories,Night,UPI,2023-08-03,Thursday,5413.92,2345.34,Yes
ORD00155,Sean Brown,Female,23,Tablet,Kolkata,Clothing,Evening,UPI,2024-01-04,Thursday,19370.08,7056.83,No
ORD00156,Jared Miller PhD,Male,56,Tablet,Delhi,Footwear,Night,UPI,2024-11-30,Saturday,16357.1,5750.38,Yes
ORD00157,Jay Murphy,Female,50,Laptop,Delhi,Footwear,Evening,Debit Card,2024-12-29,Sunday,19047.8,3881.55,No
ORD00158,Autumn Anderson,Male,32,Mobile,Mumbai,Electronics,Evening,Credit Card,2024-04-01,Monday,10399.95,3046.11,Yes
ORD00159,Hannah Williams,Female,57,Mobile,Chennai,Home Decor,Afternoon,Debit Card,2024-03-13,Wednesday,4026.5,1456.71,Yes
ORD00160,Brent Ramos,Female,20,Laptop,Bangalore,Accessories,Afternoon,Net Banking,2023-09-19,Tuesday,12406.61,4820.91,No
ORD00161,Crystal Miller,Male,52,Mobile,Bangalore,Home Decor,Afternoon,UPI,2024-05-12,Sunday,13726.98,4209.91,No
ORD00162,Margaret Shaffer,Female,36,Laptop,Chennai,Books,Night,Debit Card,2024-08-11,Sunday,16429.38,6745.36,Yes
ORD00163,Carly Stevenson,Female,21,Tablet,Hyderabad,Footwear,Morning,Cash on Delivery,2024-04-15,Monday,17097.74,3048.16,Yes
ORD00164,Scott Russell,Female,46,Tablet,Mumbai,Home Decor,Morning,Debit Card,2025-06-28,Saturday,16425.71,7360.09,Yes
ORD00165,Jonathan Williams Jr.,Female,21,Laptop,Chennai,Footwear,Afternoon,Net Banking,2024-07-10,Wednesday,19893.24,4350.86,Yes
ORD00166,Crystal Kim,Female,24,Tablet,Kolkata,Footwear,Afternoon,Debit Card,2025-05-29,Thursday,1246.91,577.11,No
ORD00167,Elizabeth Johnson,Male,48,Laptop,Chennai,Electronics,Morning,Credit Card,2023-08-27,Sunday,5490.52,2337.5,No
ORD00168,Amy Griffin,Male,36,Mobile,Bangalore,Electronics,Morning,Debit Card,2023-07-23,Sunday,8686.6,3537.66,No
ORD00169,Melissa Foster,Male,25,Laptop,Chennai,Books,Morning,Cash on Delivery,2023-12-02,Saturday,11713.43,4373.15,No
ORD00170,Tyler Harvey,Female,18,Tablet,Bangalore,Clothing,Night,Debit Card,2023-11-17,Friday,13455.24,1191.14,No
ORD00171,Paul Gutierrez,Male,51,Tablet,Chennai,Books,Morning,Net Banking,2024-02-27,Tuesday,17529.96,1219.92,No
ORD00172,Christopher Ayala,Female,34,Tablet,Delhi,Footwear,Morning,UPI,2024-02-23,Friday,5201.96,1798.3,Yes
ORD00173,Craig Shaw,Female,26,Mobile,Bangalore,Books,Evening,Debit Card,2023-07-24,Monday,16692.48,5977.7,No
ORD00174,Frank Moreno,Male,26,Mobile,Kolkata,Home Decor,Morning,UPI,2024-08-27,Tuesday,4431.02,1798.99,Yes
ORD00175,Mr. Lance Stanley,Female,37,Tablet,Hyderabad,Books,Night,UPI,2024-10-12,Saturday,1214.11,414.14,No
ORD00176,Carol Schultz,Female,21,Tablet,Bangalore,Footwear,Morning,UPI,2024-09-07,Saturday,9020.55,2074.81,No
ORD00177,Kevin Gilmore,Female,39,Mobile,Hyderabad,Accessories,Night,UPI,2023-12-04,Monday,18524.05,5254.79,Yes
ORD00178,Daniel Chapman,Female,23,Laptop,Chennai,Clothing,Evening,UPI,2024-12-19,Thursday,2500.66,494.04,No
ORD00179,Linda Hernandez,Female,46,Tablet,Kolkata,Home Decor,Afternoon,Net Banking,2023-08-25,Friday,7355.17,507.95,No
ORD00180,Shirley Garcia,Female,35,Tablet,Pune,Electronics,Morning,Net Banking,2023-12-13,Wednesday,7584.57,3113.41,Yes
ORD00181,Craig Donovan,Male,27,Tablet,Kolkata,Home Decor,Morning,Debit Card,2023-08-16,Wednesday,1811.05,725.02,No
ORD00182,Mario Torres,Female,42,Tablet,Delhi,Books,Afternoon,Net Banking,2025-04-02,Wednesday,19002.06,4131.16,Yes
ORD00183,Heidi White,Male,51,Laptop,Hyderabad,Footwear,Evening,Debit Card,2024-01-06,Saturday,19230.14,1185.75,Yes
ORD00184,Stacey Ortiz,Female,51,Laptop,Chennai,Electronics,Evening,UPI,2024-02-25,Sunday,14228.74,2085.32,No
ORD00185,Jamie Williams,Female,30,Mobile,Mumbai,Electronics,Night,Debit Card,2024-02-14,Wednesday,18024.24,4511.47,Yes
ORD00186,Michael Baker,Female,60,Laptop,Kolkata,Electronics,Evening,UPI,2024-06-04,Tuesday,17101.56,6332.95,Yes
ORD00187,Danielle Gonzales,Female,50,Mobile,Delhi,Clothing,Afternoon,Debit Card,2025-06-18,Wednesday,15912.27,983.82,No
ORD00188,Heather Cervantes,Female,53,Mobile,Chennai,Electronics,Morning,UPI,2024-12-05,Thursday,8264.12,3079.38,No
ORD00189,Nicholas Ayala,Female,44,Tablet,Delhi,Clothing,Evening,Credit Card,2024-06-23,Sunday,9274.5,3302.18,No
ORD00190,William Macdonald,Male,53,Tablet,Chennai,Clothing,Afternoon,Net Banking,2023-08-03,Thursday,10305.84,4541.73,Yes
ORD00191,John Miller,Male,37,Mobile,Mumbai,Footwear,Afternoon,UPI,2024-02-04,Sunday,18975.92,5379.75,No
ORD00192,Daniel Smith,Male,34,Mobile,Kolkata,Books,Evening,Debit Card,2025-03-14,Friday,12687.94,4142.52,Yes
ORD00193,John Walls,Male,55,Tablet,Mumbai,Clothing,Evening,Cash on Delivery,2024-11-21,Thursday,1303.29,571.76,Yes
ORD00194,Mary Cook,Male,59,Tablet,Bangalore,Accessories,Afternoon,Cash on Delivery,2023-11-05,Sunday,8623.44,2910.81,No
ORD00195,William Cobb,Female,59,Laptop,Hyderabad,Clothing,Night,UPI,2023-09-28,Thursday,9344.11,3362.72,Yes
ORD00196,Dr. Cole Morales,Female,44,Laptop,Hyderabad,Clothing,Evening,Cash on Delivery,2025-07-04,Friday,3301.54,1444.98,No
ORD00197,Steven Gomez,Female,43,Mobile,Pune,Footwear,Morning,UPI,2025-06-14,Saturday,5213.89,548.16,No
